ID,AGE,CONFIDNT,ASSERTIV,COGNITIV,OUTGOING,DEPENDBL,WARMHSTL,SEX,ATTRACT,BABYFACE,FWHR
b058,CHILD,-2.8678,3.53203,-5.46496,-0.40904,-0.39297,-5.52378,M,3.4,3.13,-0.794806925
g162,CHILD,1.57338,-1.16808,-1.70074,1.75296,3.00935,3.98628,M,3.44,3.94,-0.820117389
g104,CHILD,3.81123,-1.63317,-1.27884,2.34656,5.64792,1.67817,F,4.25,3,-0.838042296
b004,CHILD,-0.07313,-1.14495,-1.50416,-2.12605,4.00327,4.62062,M,3,4.25,-0.83959472
g146,CHILD,2.07689,-0.74357,1.11043,-1.2113,7.77471,0.27293,F,3.19,4.25,-0.848310925
b020,CHILD,-0.5361,0.98444,-0.35646,1.98246,8.0464,-3.67287,F,3.81,3.06,-0.878806334
g102,CHILD,-0.97525,5.16876,-4.63583,3.11917,2.08427,-8.24905,F,0,0,-0.952149975
b062,CHILD,-0.42086,1.31166,-1.01543,2.33832,5.56876,-2.19277,M,4.44,3.06,-0.998244322
g077,CHILD,-0.75029,-2.83923,-2.0678,-1.7145,0.63438,0.45986,M,0,0,-1.054392924
g084,CHILD,0.88647,3.2516,-3.2405,-0.19258,5.1912,-5.19933,F,2.44,3.94,-1.060052906
g087,CHILD,2.81995,3.15908,0.62857,4.43927,7.47165,-4.44073,F,4.25,2.94,-1.062989899
b092,CHILD,-0.50856,0.5561,1.13601,0.34768,3.37989,0.34679,F,0,0,-1.089951993
g130,CHILD,-0.84342,-0.38626,-0.22927,-5.36423,5.2072,-0.53473,M,3.94,4.97,-1.107638019
g088,CHILD,1.742,-1.93833,-0.51198,-1.99248,2.56316,0.91599,F,3.88,4.44,-1.131817541
g179,CHILD,0.86682,2.5885,-1.5806,5.17981,0.6633,0.64377,F,2,4.75,-1.137498986
g175,CHILD,4.67526,2.67,1.50696,4.9112,6.76402,0.13458,M,3,3.19,-1.144747926
g105,CHILD,2.27521,-0.72108,2.77498,1.46756,6.20092,0.34427,F,0,0,-1.190697193
g168,CHILD,3.4078,1.09993,-0.4015,5.69699,5.26622,1.51504,F,1.81,4.19,-1.19196962
g141,CHILD,3.74581,4.64677,-3.21438,2.70922,1.90134,0.78267,M,0,0,-1.202850103
g106,CHILD,-3.19709,2.70114,-4.03191,-1.23542,1.6589,-7.15135,M,2.47,3.19,-1.207684595
g129,CHILD,0.30286,-2.25949,-2.0601,-2.84427,0.84146,1.57488,F,2.56,5.13,-1.208121099
g065,CHILD,2.82815,1.21314,2.02125,5.98793,6.36177,-0.81516,F,2.81,4.88,-1.219152431
g172,CHILD,-0.05108,1.6881,0.61761,-1.6884,6.20119,-2.26716,M,1.81,4.97,-1.268068022
g134,CHILD,1.22932,3.48313,0.6563,4.69322,6.92127,-1.86089,M,3.09,3.87,-1.273666378
g081,CHILD,3.38802,2.19425,-1.60855,4.54387,6.15173,-6.11774,F,3.13,4.06,-1.275715259
g108,CHILD,4.53104,0.12738,-0.16961,0.32242,5.38239,2.20839,M,5.44,4.31,-1.314057573
b005,CHILD,3.95642,-0.51673,-1.8466,2.1166,2.85165,2.42415,F,3.38,4.06,-1.363378052
g152,CHILD,2.58207,0.31529,-1.25219,3.79879,4.29609,-3.10978,F,4.38,4.38,-1.440415516
b077,CHILD,-1.9584,-0.00768,1.24651,-3.59313,4.55663,0.35866,F,3.19,4.88,-1.480172324
b090,CHILD,-0.56038,1.90708,-0.25092,-5.26349,4.20312,0.33797,F,3,3.63,-1.522336943
g148,CHILD,-1.67236,-0.65314,-1.40449,-4.51586,0.88749,0.58131,M,2.59,3.32,-1.538108722
b003,CHILD,0.36031,-2.77287,-2.57212,-3.34691,3.83898,3.98691,F,2.69,4.5,-1.54212863
b034,CHILD,0.85204,0.45347,3.12132,-1.7411,6.38584,2.14697,F,0,0,-1.57691081
g068,CHILD,2.3168,4.16296,-3.66712,3.21759,6.95756,-8.23032,F,3.56,4.13,-1.588601544
g113,CHILD,1.57308,-1.72972,3.10791,2.4535,2.86629,1.76203,F,3.19,2.73,-1.602909945
g075,CHILD,-1.53144,-1.70302,-0.98902,-3.13225,3.81769,-4.36386,F,3.19,4.63,-1.64870214
b011,CHILD,0.00022,6.40013,-0.39056,3.27193,7.64885,-4.97181,M,3.69,3,-1.731070016
