FaceSex,FaceAgeGroup,FaceAge,subject,face.a,ag.old,ag.young,at.old,at.young,ba.old,ba.young,co.old,co.young,he.old,he.young,un.old,un.young
M,YA,18,O078,YM2g27r,4.75,5.125,2.625,3.375,3.642857143,4.0625,2.651785714,3.125,3.9375,3.9375,4.75,4.75
M,YA,17,O086,YM2g28r,4.625,4.75,3.25,2.875,2.741071429,2.9375,3.366071429,4.0625,4.1875,4.0625,4.125,5.5
M,YA,17.5,O088,YM2g29r,3.75,4.4375,3.5625,3.25,3.321428571,3.625,3.526785714,3.3125,5.0625,4.1875,4.25,4.375
F,YA,16,O093,YW2g29r,3.0625,3.875,2.8125,2.5,3.151785714,4.25,3.3125,3.875,4.4375,3.6875,4.25,4.3125
M,YA,17,O106,YM2g30r,3,3.5625,3.375,4.5625,2.660714286,3.25,3.598214286,4.3125,4.5,4.4375,4,3.4375
M,YA,16,O110,YM2g31r,4.5,5.0625,3.1875,3.9375,2.196428571,3.1875,3.508928571,3.8125,4.4375,4.375,4.625,5.625
F,YA,17,O113,YW2g30r,3.875,3.875,3.375,2.875,2.955357143,3.1875,3.633928571,3.875,4.875,4.3125,4.0625,3.9375
M,YA,17,O116,YM2g33r,3.375,4.5625,3.1875,4,2.848214286,3.1875,3.848214286,4.625,4.625,4.8125,3.8125,4.1875
F,YA,17,O119,YW2g31r,1.875,2.125,3.4375,3.0625,3.910714286,4,4.428571429,4.125,5,4.5625,2.6875,2.75
F,YA,17,O125,YW2g32r,3.25,3.5,3.4375,3.125,3.839285714,4.125,3.973214286,4.125,4.75,4.125,3.625,3.5625
F,YA,17,O127,YW2g33r,4.125,4.625,3,2.625,2.955357143,3.3125,3.366071429,3.75,4.375,3.875,4,4.3125
M,YA,17.5,O130,YM2g35r,3.3125,4.4375,3.5,3.125,3.982142857,4.3125,3.910714286,4.0625,5.125,4,3.9375,5
F,YA,17,O131,YW2g35r,2,2.875,3.4375,3,3.696428571,4.375,4.053571429,3.875,5.25,4.1875,3.125,3.5625
M,YA,17,O134,YM2g36r,3.6875,3.3125,2.5,1.5625,2.455357143,2.6875,3.392857143,3.0625,3.875,3.125,4,4.0625
M,YA,17,O144,YM2g37r,3.75,4.0625,2.75,3.625,2.660714286,3.3125,3.383928571,4,4.5,3.5,4,4.375
F,YA,17,O145,YW2g37r,2.9375,3.25,3.1875,3.1875,3.928571429,4.4375,3.571428571,3.9375,4.375,4.25,3.8125,3.75
F,YA,17,O153,YW2g38r,2.4375,2.625,3.125,2.4375,3.169642857,3.375,4.776785714,4.8125,5.125,4.1875,3.375,3.1875
